ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
1,"Male",2017,"2017",1,"Full-time","412031","Retail salespersons",51284.248924111875,1276.3927675181194,1085150,25457.330228725605,9632,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","412031","Retail salespersons",34526.40587481252,1025.952997155601,724721,20836.36706095102,6195,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",34443.433789038005,1571.3455650864394,159460,9797.311260460481,1309,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",52207.53862270218,373.9896454663086,2529678,38627.81040929982,26964,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",82403.78036673054,1377.3435186910153,1422025,29100.12158720859,14297,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",27736.206581915685,1215.790705525252,357282,14652.83448530944,2859,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",46838.006890658384,505.70203975486345,2758227,40295.088392714395,25316,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",57558.76184459886,792.3199737678452,698103,20452.463414421294,7452,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",111404.88110909192,1496.2127310422115,2520260,38557.410434848505,25217,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",23762.23070266115,612.7033189646838,879357,22936.787250335896,7257,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","412010","Cashiers",27923.751895463356,1387.599118945952,352948,14563.486968986419,2814,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",45700.13841769098,469.2942182897151,2729391,40078.667048909985,25019,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",56115.087922466526,784.6518613952882,679758,20182.261637439853,7235,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",107817.63897843042,1466.1333853532274,2428420,37854.82216495318,24416,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","412031","Retail salespersons",32961.41167492913,902.716936516442,744330,21113.160355226235,6377,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",22759.82391179572,650.8572372783907,899004,23187.735672517858,7302,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",37228.2278660674,2410.328835675594,139503,9164.399912049279,1181,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",50837.800684536,394.50949812228754,2479928,38245.45918356949,26413,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",81107.72508386559,1416.8969851171933,1337557,28229.351089393243,13569,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","412031","Retail salespersons",49175.8159985115,1195.0408138477599,1117904,25832.38511556723,9781,"United States","01000US","united-states"
2,"Female",2015,"2015",1,"Full-time","412031","Retail salespersons",31549.535005948794,859.3079092290053,728719,20890.984483144992,6377,"United States","01000US","united-states"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",34234.13926883482,1642.149790357462,131817,8908.583027788523,1143,"United States","01000US","united-states"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",49711.9761507768,377.11834279710956,2375591,37443.51201382096,25487,"United States","01000US","united-states"
2,"Female",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",79185.9592544885,1404.1007353638302,1295701,27786.825429613753,13006,"United States","01000US","united-states"
1,"Male",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",105466.56286797661,1463.3319484467706,2408611,37697.25005625287,24075,"United States","01000US","united-states"
1,"Male",2015,"2015",1,"Full-time","412031","Retail salespersons",48319.94005401234,1195.7945576579039,1115671,25804.8917778772,9928,"United States","01000US","united-states"
